ProductID,UserID,ProfileName,Helpfuness,Score
 B003AI2VGA, A141HP4LYPWMSR," Brian E. Erland ""Rainbow Sphinx""", 7/7, 3.0
 B003AI2VGA, A328S9RN3U5M68, Grady Harp, 4/4, 3.0
 B003AI2VGA, A1I7QGUDP043DG," Chrissy K. McVay ""Writer""", 8/10, 5.0
 B003AI2VGA, A1M5405JH9THP9, golgotha.gov, 1/1, 3.0
 B003AI2VGA, ATXL536YX71TR," KerrLines ""&#34", 0/0, 2.0
 B003AI2VGA, A3QYDL5CDNYN66," abra ""a devoted reader""", 3/11, 1.0
 B003AI2VGA, AQJVNDW6YZFQS, Charles R. Williams, 64/65, 5.0
 B00006HAXW, AD4CDZK7D31XP, Anthony Accordino, 26/26, 5.0
 B00006HAXW, A3Q4S5DFVPB70D, Joseph P. Aiello, 24/24, 5.0
 B00006HAXW, A2P7UB02HAVEPB," ""bruce_from_la""", 22/23, 4.0
 B00006HAXW, A2TX99AZKDK0V7, Henrique Peirano, 14/14, 5.0
 B00006HAXW, AFC8IKR407HSK, Richard Albero, 9/9, 5.0
 B00006HAXW, A1FRPGQYQTAOR1, Les, 9/9, 5.0
 B00006HAXW, A1RSDE90N6RSZF, Joseph M. Kotow, 7/7, 4.0
 B00006HAXW, A1OUBOGB5970AO," ""fellafromnyc""", 7/7, 5.0
 B00006HAXW, A3NPHQVIY59Y0Y, S. Dorman, 7/7, 5.0
 B00006HAXW, AFKMBAY28XO8A, RFP, 4/4, 5.0
 B00006HAXW, A66KMXH9V7OGU, C. Thomas, 3/3, 5.0
 B00006HAXW, AFJ27ZV9183B8, Michael A. Martin, 5/6, 5.0
 B00006HAXW, AXMKAXC0TR9AW," C. W. Emblom ""Bill Emblom""", 18/19, 5.0
 B00004CQT3, A34KFDQ5KBHZA5, steven conklin, 14/15, 5.0
 B00004CQT3, A1CIW2OEVAJRM2, Godly Gadfly, 10/11, 5.0
 B00004CQT3, A1VJCDRXUQVXBM, K. Kangley, 7/7, 5.0
 B00004CQT3, A2IMLPUXYQJTSY," Jerry Loveless ""jerryl3515""", 4/4, 5.0
 B00004CQT3, A1D12NAC1U12F0," Frank J. Pickens ""Blade""", 1/1, 5.0
 B00004CQT3, A3RVH9HUN9J4LZ, Michael, 1/1, 5.0
 B00004CQT3, AH7ZNGM8WOOGN," Gary E. Hogan ""GEH""", 0/0, 3.0
 B00004CQT3, A2582KMXLK2P06, B. E Jackson, 0/0, 5.0
 B00004CQT3, A1J50B4K22D93F, Jack, 0/0, 4.0
 B00004CQT3, A2DLKD4AC5JV5Q, Ranny Levy, 0/0, 5.0
 B00004CQT3, A8DDTUL8OWFMO, LuAnn Perkins, 0/0, 5.0
 B00004CQT3, A174WE983H06N4, ZombiBoi, 0/0, 5.0
 B00004CQT3, ASES4LU7WKYC, J. L. Noble, 0/0, 5.0
 B00004CQT3, A3N27L13CWJ9HY, D. R. Smith, 0/0, 5.0
 B00004CQT3, A2H5D7IK9SF07M, ER, 0/0, 5.0
 B00004CQT3, A2URPOBDQK3WG, Shannon M. Naramore, 0/0, 5.0
 B00004CQT3, A2TTVV34NLMZI8," Hank ""Hank""", 0/0, 5.0
 B00004CQT3, A7LRQFZW3D9NE, Dario R Opistan, 0/0, 5.0
 B00004CQT3, A2R1VN4J5L2ZCO, TieDi, 0/0, 3.0
 B00004CQT3, A2I6MHMAZZDCRX, Mark Baker, 3/5, 4.0
 B00004CQT3, A3GX0UO7XXZST2, Rob Hobbs, 3/5, 5.0
 B00004CQT3, A2942G3FDOIM18," Vicki D. Syrett ""grandma-vicki""", 2/6, 3.0
 B00004CQT3, A11L5M4MJP00UW," David L Hutchins ""Music Lover""", 1/5, 1.0
 B00004CQT3, A2VDM3D712BGLE, Elizabeth LaRosa, 0/0, 5.0
 B00004CQT4, A1NN07FHTQZZ6K, Michele Adams, 0/0, 4.0
 B00004CQT4, A245OASCPKPJHC, Der girl, 0/0, 4.0
 B00004CQT4, AVQRC2N2SSSYS," Mark A. Jones ""Don't worry, be happy!""", 0/0, 5.0
 B00004CQT4, A2ON9S58W4AZ1Z, Kindra, 0/1, 4.0
 B00004CQT4, A3IG9WGCIHPJ6X," *** ""AC1962""", 1/1, 5.0
 B006JIUN2W, A44YJ6ZLTMAR6, Manoj Sharma, 1/1, 3.0
 B0078V2LCY, A27H9DOUGY9FOS," K. Harris ""Film aficionado""", 0/0, 4.0
 B0078V2LCY, A39M64IZTC04G0, David W. Deyerle, 0/0, 5.0
 B003ZG3GAM, ATK3QFC6L1318, J. Marszalek, 34/35, 5.0
 B004BH1TN0, AWPODHOB4GFWL," Martin A Hogan ""Marty From SF""", 2/2, 5.0
 B004BH1TN0, A1R6DF0KOJ0TG6, Rona, 2/2, 4.0
 B004BH1TN0, A9Q28YTLYREO7," A customer ""mistermaxxx""", 2/2, 5.0
 B004BH1TN0, AVV8PPI6BDKVA," ""utawwsexy""", 0/0, 3.0
 B004BH1TN0, A14HV65O34S8EF, Antonio Maisonet, 0/0, 4.0
 B004BH1TN0, A39I79H1A2A8C3, Irving Faqua, 0/0, 5.0
 B004BH1TN0, A2M4H4R4Z7UDZX," S. Lomax ""Shawna67""", 0/0, 4.0
 B004BH1TN0, A2WFI5XFB7NHHJ," M. Chung ""music lover""", 0/0, 5.0
 B004BH1TN0, AUQW6UEZFC7B2, Country Woman, 5/5, 5.0
 B0071AD95K, AA72A0AYTWV5Y, fjiewofjeiwo, 4/4, 5.0
 B0071AD95K, A13NO1WIGJZUV4, J. A. Handford, 3/3, 5.0
 B0071AD95K, AOIT2QUH8GRGA, Ryan's mom, 1/1, 5.0
 B0071AD95K, A2D595HNMO9PHR, Stephen, 1/1, 5.0
 B0071AD95K, A3ENN12GLNTUAF," J. Kennel ""marriagefanatic""", 4/6, 5.0
 B0071AD95K, A2OKCS5234ZV7S, Flower, 0/0, 5.0
 B0071AD95K, A1MXSUEA3ZK5UZ, Darryl M. Cue, 0/0, 4.0
 B0071AD95K, A31YQQYX9PU04Z, Stranger in the land, 0/0, 5.0
 B0071AD95K, A2BTR8ZO8MB01D," Eric Lessner ""Eric0118""", 1/1, 5.0
 B000063W1R, A29DLKCN8QWO7B," Terrie ""seamstress""", 1/1, 5.0
 B000063W1R, A295JWKTJLM7YT, LBurkett, 1/1, 5.0
 B000063W1R, A1M3W0ROKC7F3C," Brandy51 ""Brandy""", 1/1, 5.0
 B000063W1R, A2M2O1DI1SCQDI, Mimi, 1/1, 4.0
 B000063W1R, A2IOMS4TK2QSFW, Holly N., 1/1, 5.0
 B000063W1R, A2YWH9COGWT8VU, ECastle, 1/1, 5.0
 B000063W1R, A3QIEISBZP4QTV," Mark E. Baxter ""Inquirer""", 1/1, 5.0
 B000063W1R, A17RUD7RKGZUA4, PINKPEARL, 1/1, 4.0
 B000063W1R, A18758S1PUYIDT, Viva, 1/1, 5.0
 B000063W1R, A2UFG3DMVELP6I," Arturo Bustamante ""Art""", 1/1, 5.0
 B000063W1R, A4FBBS25X3XEL, M. Pruitt, 1/1, 3.0
 B000063W1R, A23Q1T4MXZHFM7, susumu-5, 1/1, 5.0
 B000063W1R, ANZNLFBN62YKH, James D'arcy Pacita D'arcy, 1/1, 4.0
 B000063W1R, A2FX6OHBMQ9545, S. AIKEN, 1/1, 4.0
 B000063W1R, A1MIFONBFK8OWE, Casey Scott, 1/1, 4.0
 B000063W1R, A1DZ4MTJY8LAVG, Ken Gingerly, 1/1, 5.0
 B000063W1R, A3NNR95R50VB4W, J. Smith, 1/1, 5.0
 B000063W1R, A19O5ETNRJN39D, D. Myers, 1/1, 3.0
 B000063W1R, AMEJTGF5NQLNH, M. Miller, 1/1, 5.0
 B000063W1R, A1DDVFGUC6NQD3, M. Gibson, 1/1, 3.0
 B000063W1R, A36SSF310LBGSE, freedom78, 1/1, 5.0
 B000063W1R, A63FDY7VFOMQV, J. Thomas, 1/1, 5.0
 B000063W1R, A3R95JCH1K9R0S," Randall Shute ""The Coroner of China""", 1/1, 5.0
 B000063W1R, A2IT3899H776LW," AVA VAN ""Caveziel fan""", 1/1, 5.0
 B000063W1R, A3NWP0SFAC0ZD2, K. Wells, 1/1, 4.0
 B000063W1R, A1AFHYBINSG7PH, K. Atkins, 1/1, 5.0
 B000063W1R, A3N2MVBI1A2I9Y, Jerry, 1/1, 4.0
 B000063W1R, A3VP6XR88INLRB, M. J. McManus, 1/1, 5.0
 B000063W1R, A355WMP0CQBJFX, horrorqueen, 1/1, 5.0
 B000063W1R, A2CU4L3OK00M23, C. Reich, 1/1, 4.0
 B000063W1R, A41I67QYRAOSQ," Fish Hunter ""Eddie""", 1/1, 5.0
 B000063W1R, A1XY417YALQB6G, CMR, 1/1, 5.0
 B000063W1R, A2PNB2HQTF51UE," Cherie M. Faiola ""sprintschic""", 1/1, 5.0
 B000063W1R, ATQDMCZ904Y4W, Anna B., 3/4, 5.0
 B000063W1R, A1IJINKEDO8E8A," M. Enfield ""PT""", 3/4, 5.0
 B000063W1R, AQ8DU6XVA3USJ," Alejandra Vernon ""artist & illustrator""", 5/7, 5.0
 B000063W1R, A1ICAVFAYAJDUP," ""princesssilvia""", 2/3, 4.0
 B000063W1R, ALX2RTJW3NF0O," D. McGrath ""dmack58""", 2/3, 5.0
 B000063W1R, A1KPXFWEB2TLGR, Julian J. Robinson, 2/3, 5.0
 B000063W1R, A2M6FIWDCDWDVM," Lisa Higgins ""bearloverb4u""", 2/3, 4.0
 B000063W1R, A3QEBUBAQHE4DI, blacketarani, 2/3, 5.0
